shape,disturbance,dtw_node,dtw_node_clf,dtw_l1_node,norm_node,norm_node_clf,norm_l1_node
IShape,no_llc_pulses,2216.3923459590324,1511.529833898242,880.4044365464612,1.0,0.6819775553972163,0.39722409173250883
IShape,with_llc_matched_chirp,45.43241994352672,30.630599219334,26.560351023773396,1.0,0.6742013579159633,0.5846122891271998
IShape,with_llc_matched_const,45.4210947872352,30.570376305521254,26.56424349215765,1.0,0.673043581373836,0.5848437519305031
IShape,with_llc_matched_multisine,45.48520568160153,30.594675894834793,26.577137791123526,1.0,0.6726291645023855,0.5843029044908509
IShape,with_llc_matched_multisine_unmatched_pulse,737.3557973145466,209.7692659310383,43.81280117089796,1.0,0.28448852873337266,0.05941880613194389
IShape,with_llc_matched_pulse,45.420502676583624,30.67145592168699,26.566619212777884,1.0,0.6752777735658912,0.5849036810962951
IShape,with_llc_unmatched_chirp,317.52538134596193,161.1269635790759,36.12650832899218,1.0,0.5074459336008762,0.11377518287153963
IShape,with_llc_unmatched_const,27502.683861126818,9554.154532593388,350.1984216554666,1.0,0.347389897685496,0.01273324535975372
IShape,with_llc_unmatched_multisine,176.0925671044561,66.84691687207628,34.86899718941976,1.0,0.3796123707619269,0.19801515624867838
IShape,with_llc_unmatched_pulse,737.3858645793811,209.76353517854804,43.812889617327876,1.0,0.28446915686158586,0.059416503247346056
OShape,no_llc_pulses,977.9606346329074,788.9997855631367,580.7025550194097,1.0,0.8067807206363679,0.5937892942259229
OShape,with_llc_matched_chirp,536.6316426056704,105.92883998668658,68.21882788132723,1.0,0.1973958141423382,0.1271241247535901
OShape,with_llc_matched_const,536.2300713790759,105.95223808198811,68.32244205861379,1.0,0.19758727407715176,0.12741255238241714
OShape,with_llc_matched_multisine,536.6083756595756,106.09600665632058,68.25345825765632,1.0,0.19771589760579492,0.12719417242371991
OShape,with_llc_matched_multisine_unmatched_pulse,380.7710334068862,232.39684527997142,65.68908220326263,1.0,0.6103322597852018,0.17251596481885811
OShape,with_llc_matched_pulse,536.5787702346554,106.14725232940428,68.24702319373665,1.0,0.19782231094045,0.12718919752246444
OShape,with_llc_unmatched_chirp,746.4254981859009,243.13762414892605,72.14645885413732,1.0,0.32573595722526005,0.096655940920401
OShape,with_llc_unmatched_const,19556.63111504116,10566.683255715143,398.7741098247363,1.0,0.5403120401237319,0.02039073639416535
OShape,with_llc_unmatched_multisine,267.02979740642104,82.68860029700988,55.83759039966313,1.0,0.309660573839096,0.20910621564333498
OShape,with_llc_unmatched_pulse,380.8736788822186,232.3769030378069,65.70623199771089,1.0,0.6101154160082224,0.17251449927058332
RShape,no_llc_pulses,999.4057003037608,338.8451882244689,226.33600668149012,1.0,0.3390466835655228,0.2264705980891416
RShape,no_llc_zero,104.99148256258174,104.99105592625219,104.99625067251266,1.0,0.999995936467234,1.0000454142547046
RShape,with_llc_matched_chirp,1151.5461714034554,676.0927339688288,552.2628720090522,1.0,0.5871173477524013,0.4795837854560167
RShape,with_llc_matched_const,1151.6154896659214,676.1339376794522,552.2583302120463,1.0,0.5871177869234772,0.4795509744074856
RShape,with_llc_matched_multisine,1151.5300743881446,676.0773492415519,552.260873453025,1.0,0.5871121947038853,0.4795887538989931
RShape,with_llc_matched_multisine_unmatched_pulse,1489.119280791941,712.8137028502766,546.9312271182406,1.0,0.47868140050620334,0.3672850349687048
RShape,with_llc_matched_pulse,1151.5920881973282,676.1224991826748,552.2562378074101,1.0,0.5871197849588035,0.47955890238174304
RShape,with_llc_unmatched_chirp,1272.2928423572932,670.9069518087318,540.5221188641286,1.0,0.5273211712530593,0.4248409649642089
RShape,with_llc_unmatched_const,4603.821531918379,1868.2890897844557,580.2676143838727,1.0,0.4058126660279016,0.1260404232355374
RShape,with_llc_unmatched_multisine,1214.4014820557832,683.2932624811001,565.9688840520308,1.0,0.5626584556899554,0.4660475900391179
RShape,with_llc_unmatched_pulse,1489.100573433754,712.8203804178744,546.8648203013539,1.0,0.47869189840828824,0.367245053865183
SShape,no_llc_pulses,1715.6878240988033,1621.3110110370196,631.9353485727597,1.0,0.944991850069603,0.368327699070019
SShape,with_llc_matched_chirp,73.59747113284931,83.47271858270638,70.29078534809715,1.0,1.1341791680862439,0.9550706602570171
SShape,with_llc_matched_const,73.61347867515241,83.6446609727859,70.29557179434116,1.0,1.136268282360353,0.9549279976911187
SShape,with_llc_matched_multisine,73.60394341920491,83.51105679686664,70.28776060239181,1.0,1.1346003069595962,0.9549455822234134
SShape,with_llc_matched_multisine_unmatched_pulse,345.24625564792257,191.69778429121467,86.98920023219522,1.0,0.5552494231442309,0.25196276225774805
SShape,with_llc_matched_pulse,73.57829240327357,83.57178471243806,70.29531144700343,1.0,1.1358212046345326,0.9553811205854503
SShape,with_llc_unmatched_chirp,396.64542615791515,197.65927175913936,77.80145710129462,1.0,0.49832736929240656,0.19614863041511482
SShape,with_llc_unmatched_const,19166.900965979927,5448.2719128078315,234.7893230074115,1.0,0.2842541902041535,0.01224972797762915
SShape,with_llc_unmatched_multisine,240.71653230902237,139.70993185869543,105.54899760558062,1.0,0.5803919262152769,0.4384783903005091
SShape,with_llc_unmatched_pulse,345.3103234666079,191.66298976714532,87.00133946458416,1.0,0.5550456408109081,0.2519511684190853
