disturbance,seds_mean,seds_var,seds+clf_mean,seds+clf_var,l1-seds_mean,l1-seds_var,num_shapes
no_llc_pulses,1.0,0.0,0.08070204093453877,0.0008999503518466032,0.014704178152275075,0.0004407165931430562,10
with_llc_matched_chirp,1.0,0.0,0.29125939925400035,0.013884918800988008,0.13275512546114598,0.0038606776316249805,10
with_llc_matched_const,1.0,0.0,0.24093031703481418,0.011261644751233106,0.1043512344903887,0.003204636350130298,10
with_llc_matched_multisine,1.0,0.0,0.25641573542098467,0.012244187810723969,0.11458662564746147,0.0035258911781055327,10
with_llc_matched_multisine_unmatched_pulse,1.0,0.0,0.2648099561959063,0.015797520714969104,0.06772334239102035,0.001604612935700258,10
with_llc_matched_pulse,1.0,0.0,0.2711190616914986,0.013519759784038422,0.11475122487923435,0.003636172450304546,10
with_llc_unmatched_chirp,1.0,0.0,0.4901695639548218,0.022254804775720546,0.2941990688090085,0.008198302869612331,10
with_llc_unmatched_const,1.0,0.0,0.32235340315263283,0.0515681819902025,0.028656532060867247,0.0002743291066518643,10
with_llc_unmatched_multisine,1.0,0.0,0.4470961793907414,0.02640266692508184,0.25892818230134795,0.008789660188229135,10
with_llc_unmatched_pulse,1.0,0.0,0.2655721602251247,0.016202262696067043,0.06759191395944472,0.0015905949388475848,10
